Year,Month,Total,"Food & Non-Alcoholic Beverages","Clothing & Footwear","Housing, Water, Electricity, Gas & Other Fuels","Furnishings, Household Equipment & Routine Household Maintenance",Health,Transport,Communication,"Recreation Services & Culture",Education,"Restaurants & Hotels","Miscellaneous Goods & Services"
2021,JAN,0.7,1.2,-0.4,0.5,0.2,0.7,-0.6,0.0,0.1,0.2,-0.1,1.8
2021,FEB,0.7,1.1,-0.4,0.4,0.3,0.7,0.5,0.0,0.1,0.1,-0.3,1.6
2021,MAR,0.7,1.1,-0.3,0.4,0.9,0.5,0.6,0.0,0.5,0.0,0.0,1.0
2021,APR,0.7,1.3,-0.4,0.4,1.6,0.5,0.6,0.0,0.7,0.2,0.2,1.2
2021,MAY,0.8,1.3,-0.5,0.6,2.1,0.6,0.8,0.0,0.6,0.3,0.2,0.7
2021,JUN,0.7,1.2,-0.4,0.6,2.0,0.5,1.0,0.0,0.6,0.5,0.5,0.3
2021,JUL,0.7,1.1,-0.4,0.6,1.7,0.4,1.0,0.0,0.6,0.1,0.7,0.1
2021,AUG,0.6,0.9,-0.4,0.6,1.7,0.3,0.7,0.0,0.7,0.0,0.6,-0.6
2021,SEP,0.6,1.0,-0.5,0.6,1.7,0.3,0.9,0.0,0.6,-0.1,0.3,-0.5
2021,OCT,0.7,1.2,-0.4,0.6,2.1,0.2,1.1,0.0,0.2,-0.1,0.6,-0.2
2021,NOV,0.9,1.6,-0.4,0.8,2.6,0.2,1.4,0.0,0.2,0.1,0.9,0.1
2021,DEC,1.1,2.1,-0.4,0.9,2.7,0.2,1.9,0.0,0.4,0.2,1.3,0.4
2022,JAN,1.6,2.8,-0.3,0.9,3.1,0.3,3.3,0.0,1.2,0.7,2.1,0.6
2022,FEB,1.8,3.2,-0.2,0.9,3.2,0.5,3.5,0.0,1.6,0.7,2.6,1.1
2022,MAR,2.0,3.5,-0.3,0.9,3.0,0.2,3.9,0.0,1.1,0.9,2.9,1.9
2022,APR,2.1,3.8,-0.2,1.0,2.7,0.2,4.2,0.0,1.3,1.0,3.2,1.8
2022,MAY,2.4,4.4,0.0,1.3,2.9,0.4,4.7,0.0,1.8,1.0,3.7,1.9
2022,JUN,3.0,5.6,0.2,1.4,3.4,0.6,5.2,0.0,2.2,1.1,5.0,2.2
2022,JUL,3.4,6.8,0.3,1.4,4.0,0.8,6.1,0.0,2.5,1.2,5.8,2.1
2022,AUG,3.8,7.3,0.3,1.9,4.3,0.9,6.7,0.0,2.7,1.2,6.4,2.4
